,index,variable,value
856,US,2/8/20,0
857,"Korea, South",2/8/20,1
858,Switzerland,2/8/20,0
859,China - Guangdong,2/8/20,112
860,China - Henan,2/8/20,116
861,China - Zhejiang,2/8/20,175
862,China - Hunan,2/8/20,156
863,China - Anhui,2/8/20,59
864,China - Jiangxi,2/8/20,55
865,Belgium,2/8/20,0
866,China - Shandong,2/8/20,44
867,China - Jiangsu,2/8/20,51
868,Canada,2/8/20,0
869,Austria,2/8/20,0
870,China - Chongqing,2/8/20,39
871,China - Sichuan,2/8/20,60
872,China - Heilongjiang,2/8/20,13
873,China - Beijing,2/8/20,34
874,China - Shanghai,2/8/20,41
875,China - Hebei,2/8/20,30
876,Diamond Princess,2/8/20,0
877,China - Fujian,2/8/20,24
878,Malaysia,2/8/20,1
879,Denmark,2/8/20,0
880,China - Shaanxi,2/8/20,20
881,China - Guangxi,2/8/20,17
882,Japan,2/8/20,1
883,Turkey,2/8/20,0
884,Peru,2/8/20,0
885,Thailand,2/8/20,10
886,China - Yunnan,2/8/20,17
887,China - Hainan,2/8/20,14
888,Singapore,2/8/20,2
889,Bahrain,2/8/20,0
890,China - Guizhou,2/8/20,7
891,Chile,2/8/20,0
892,China - Shanxi,2/8/20,21
893,Australia - Victoria,2/8/20,0
894,China - Tianjin,2/8/20,4
895,Israel,2/8/20,0
896,China - Liaoning,2/8/20,8
897,China - Gansu,2/8/20,12
898,Romania,2/8/20,0
899,Iceland,2/8/20,0
900,China - Hubei,2/9/20,1795
901,Spain,2/9/20,0
902,Iran,2/9/20,0
903,Germany,2/9/20,0
904,Italy,2/9/20,0
905,France,2/9/20,0
906,US,2/9/20,3
907,"Korea, South",2/9/20,3
908,Switzerland,2/9/20,0
909,China - Guangdong,2/9/20,141
910,China - Henan,2/9/20,153
911,China - Zhejiang,2/9/20,201
912,China - Hunan,2/9/20,186
913,China - Anhui,2/9/20,72
914,China - Jiangxi,2/9/20,73
915,Belgium,2/9/20,0
916,China - Shandong,2/9/20,63
917,China - Jiangsu,2/9/20,71
918,Canada,2/9/20,0
919,Austria,2/9/20,0
920,China - Chongqing,2/9/20,51
921,China - Sichuan,2/9/20,71
922,China - Heilongjiang,2/9/20,14
923,China - Beijing,2/9/20,37
924,China - Shanghai,2/9/20,44
925,China - Hebei,2/9/20,34
926,Diamond Princess,2/9/20,0
927,China - Fujian,2/9/20,35
928,Malaysia,2/9/20,1
929,Denmark,2/9/20,0
930,China - Shaanxi,2/9/20,25
931,China - Guangxi,2/9/20,18
932,Japan,2/9/20,1
933,Turkey,2/9/20,0
934,Peru,2/9/20,0
935,Thailand,2/9/20,10
936,China - Yunnan,2/9/20,18
937,China - Hainan,2/9/20,19
938,Singapore,2/9/20,2
939,Bahrain,2/9/20,0
940,China - Guizhou,2/9/20,7
941,Chile,2/9/20,0
942,China - Shanxi,2/9/20,25
943,Australia - Victoria,2/9/20,0
944,China - Tianjin,2/9/20,4
945,Israel,2/9/20,0
946,China - Liaoning,2/9/20,12
947,China - Gansu,2/9/20,16
948,Romania,2/9/20,0
949,Iceland,2/9/20,0
950,China - Hubei,2/10/20,2222
951,Spain,2/10/20,0
952,Iran,2/10/20,0
953,Germany,2/10/20,0
954,Italy,2/10/20,0
955,France,2/10/20,0
956,US,2/10/20,3
957,"Korea, South",2/10/20,3
958,Switzerland,2/10/20,0
959,China - Guangdong,2/10/20,167
960,China - Henan,2/10/20,191
961,China - Zhejiang,2/10/20,242
962,China - Hunan,2/10/20,208
963,China - Anhui,2/10/20,88
964,China - Jiangxi,2/10/20,105
965,Belgium,2/10/20,0
966,China - Shandong,2/10/20,66
967,China - Jiangsu,2/10/20,81
968,Canada,2/10/20,0
969,Austria,2/10/20,0
970,China - Chongqing,2/10/20,66
971,China - Sichuan,2/10/20,80
972,China - Heilongjiang,2/10/20,30
973,China - Beijing,2/10/20,44
974,China - Shanghai,2/10/20,48
975,China - Hebei,2/10/20,41
976,Diamond Princess,2/10/20,0
977,China - Fujian,2/10/20,39
978,Malaysia,2/10/20,1
979,Denmark,2/10/20,0
980,China - Shaanxi,2/10/20,30
981,China - Guangxi,2/10/20,24
982,Japan,2/10/20,4
983,Turkey,2/10/20,0
984,Peru,2/10/20,0
985,Thailand,2/10/20,10
986,China - Yunnan,2/10/20,19
987,China - Hainan,2/10/20,19
988,Singapore,2/10/20,2
989,Bahrain,2/10/20,0
990,China - Guizhou,2/10/20,10
991,Chile,2/10/20,0
992,China - Shanxi,2/10/20,25
993,Australia - Victoria,2/10/20,0
994,China - Tianjin,2/10/20,8
995,Israel,2/10/20,0
996,China - Liaoning,2/10/20,13
997,China - Gansu,2/10/20,17
998,Romania,2/10/20,0
999,Iceland,2/10/20,0
1000,China - Hubei,2/11/20,2639
1001,Spain,2/11/20,0
1002,Iran,2/11/20,0
1003,Germany,2/11/20,0
1004,Italy,2/11/20,0
1005,France,2/11/20,0
1006,US,2/11/20,3
1007,"Korea, South",2/11/20,3
1008,Switzerland,2/11/20,0
1009,China - Guangdong,2/11/20,212
1010,China - Henan,2/11/20,218
1011,China - Zhejiang,2/11/20,270
1012,China - Hunan,2/11/20,247
1013,China - Anhui,2/11/20,105
1014,China - Jiangxi,2/11/20,128
1015,Belgium,2/11/20,0
1016,China - Shandong,2/11/20,80
1017,China - Jiangsu,2/11/20,93
1018,Canada,2/11/20,0
1019,Austria,2/11/20,0
1020,China - Chongqing,2/11/20,79
1021,China - Sichuan,2/11/20,85
1022,China - Heilongjiang,2/11/20,28
1023,China - Beijing,2/11/20,48
1024,China - Shanghai,2/11/20,52
1025,China - Hebei,2/11/20,48
1026,Diamond Princess,2/11/20,0
1027,China - Fujian,2/11/20,45
1028,Malaysia,2/11/20,3
1029,Denmark,2/11/20,0
1030,China - Shaanxi,2/11/20,32
1031,China - Guangxi,2/11/20,33
1032,Japan,2/11/20,9
1033,Turkey,2/11/20,0
1034,Peru,2/11/20,0
1035,Thailand,2/11/20,10
1036,China - Yunnan,2/11/20,20
1037,China - Hainan,2/11/20,20
1038,Singapore,2/11/20,9
1039,Bahrain,2/11/20,0
1040,China - Guizhou,2/11/20,17
1041,Chile,2/11/20,0
1042,China - Shanxi,2/11/20,30
1043,Australia - Victoria,2/11/20,0
1044,China - Tianjin,2/11/20,10
1045,Israel,2/11/20,0
1046,China - Liaoning,2/11/20,19
1047,China - Gansu,2/11/20,24
1048,Romania,2/11/20,0
1049,Iceland,2/11/20,0
1050,China - Hubei,2/12/20,2686
1051,Spain,2/12/20,0
1052,Iran,2/12/20,0
1053,Germany,2/12/20,0
1054,Italy,2/12/20,0
1055,France,2/12/20,2
1056,US,2/12/20,3
1057,"Korea, South",2/12/20,7
1058,Switzerland,2/12/20,0
1059,China - Guangdong,2/12/20,275
1060,China - Henan,2/12/20,246
1061,China - Zhejiang,2/12/20,321
1062,China - Hunan,2/12/20,304
1063,China - Anhui,2/12/20,127
1064,China - Jiangxi,2/12/20,152
1065,Belgium,2/12/20,0
1066,China - Shandong,2/12/20,92
1067,China - Jiangsu,2/12/20,125
1068,Canada,2/12/20,1
1069,Austria,2/12/20,0
1070,China - Chongqing,2/12/20,102
1071,China - Sichuan,2/12/20,92
1072,China - Heilongjiang,2/12/20,31
1073,China - Beijing,2/12/20,56
1074,China - Shanghai,2/12/20,57
1075,China - Hebei,2/12/20,54
1076,Diamond Princess,2/12/20,0
1077,China - Fujian,2/12/20,53
1078,Malaysia,2/12/20,3
1079,Denmark,2/12/20,0
1080,China - Shaanxi,2/12/20,43
1081,China - Guangxi,2/12/20,32
1082,Japan,2/12/20,9
1083,Turkey,2/12/20,0
1084,Peru,2/12/20,0
1085,Thailand,2/12/20,10
1086,China - Yunnan,2/12/20,26
1087,China - Hainan,2/12/20,27
1088,Singapore,2/12/20,15
1089,Bahrain,2/12/20,0
1090,China - Guizhou,2/12/20,18
1091,Chile,2/12/20,0
1092,China - Shanxi,2/12/20,33
1093,Australia - Victoria,2/12/20,0
1094,China - Tianjin,2/12/20,11
1095,Israel,2/12/20,0
1096,China - Liaoning,2/12/20,20
1097,China - Gansu,2/12/20,31
1098,Romania,2/12/20,0
1099,Iceland,2/12/20,0
1100,China - Hubei,2/13/20,3459
1101,Spain,2/13/20,0
1102,Iran,2/13/20,0
1103,Germany,2/13/20,1
1104,Italy,2/13/20,0
1105,France,2/13/20,2
1106,US,2/13/20,3
1107,"Korea, South",2/13/20,7
1108,Switzerland,2/13/20,0
1109,China - Guangdong,2/13/20,314
1110,China - Henan,2/13/20,296
1111,China - Zhejiang,2/13/20,360
1112,China - Hunan,2/13/20,339
1113,China - Anhui,2/13/20,157
1114,China - Jiangxi,2/13/20,170
1115,Belgium,2/13/20,0
1116,China - Shandong,2/13/20,105
1117,China - Jiangsu,2/13/20,139
1118,Canada,2/13/20,1
1119,Austria,2/13/20,0
1120,China - Chongqing,2/13/20,128
1121,China - Sichuan,2/13/20,104
1122,China - Heilongjiang,2/13/20,33
1123,China - Beijing,2/13/20,69
1124,China - Shanghai,2/13/20,62
1125,China - Hebei,2/13/20,68
1126,Diamond Princess,2/13/20,0
1127,China - Fujian,2/13/20,57
1128,Malaysia,2/13/20,3
1129,Denmark,2/13/20,0
1130,China - Shaanxi,2/13/20,46
1131,China - Guangxi,2/13/20,33
1132,Japan,2/13/20,9
1133,Turkey,2/13/20,0
1134,Peru,2/13/20,0
1135,Thailand,2/13/20,12
1136,China - Yunnan,2/13/20,27
1137,China - Hainan,2/13/20,30
1138,Singapore,2/13/20,15
1139,Bahrain,2/13/20,0
1140,China - Guizhou,2/13/20,27
1141,Chile,2/13/20,0
1142,China - Shanxi,2/13/20,36
1143,Australia - Victoria,2/13/20,4
1144,China - Tianjin,2/13/20,21
1145,Israel,2/13/20,0
1146,China - Liaoning,2/13/20,22
1147,China - Gansu,2/13/20,39
1148,Romania,2/13/20,0
1149,Iceland,2/13/20,0
1150,China - Hubei,2/14/20,4774
1151,Spain,2/14/20,0
1152,Iran,2/14/20,0
1153,Germany,2/14/20,1
1154,Italy,2/14/20,0
1155,France,2/14/20,2
1156,US,2/14/20,3
1157,"Korea, South",2/14/20,7
1158,Switzerland,2/14/20,0
1159,China - Guangdong,2/14/20,362
1160,China - Henan,2/14/20,357
1161,China - Zhejiang,2/14/20,403
1162,China - Hunan,2/14/20,364
1163,China - Anhui,2/14/20,193
1164,China - Jiangxi,2/14/20,187
1165,Belgium,2/14/20,0
1166,China - Shandong,2/14/20,136
1167,China - Jiangsu,2/14/20,157
1168,Canada,2/14/20,1
1169,Austria,2/14/20,0
1170,China - Chongqing,2/14/20,152
1171,China - Sichuan,2/14/20,114
1172,China - Heilongjiang,2/14/20,47
1173,China - Beijing,2/14/20,80
1174,China - Shanghai,2/14/20,90
1175,China - Hebei,2/14/20,87
1176,Diamond Princess,2/14/20,0
1177,China - Fujian,2/14/20,63
1178,Malaysia,2/14/20,3
1179,Denmark,2/14/20,0
1180,China - Shaanxi,2/14/20,54
1181,China - Guangxi,2/14/20,36
1182,Japan,2/14/20,9
1183,Turkey,2/14/20,0
1184,Peru,2/14/20,0
1185,Thailand,2/14/20,12
1186,China - Yunnan,2/14/20,36
1187,China - Hainan,2/14/20,43
1188,Singapore,2/14/20,17
1189,Bahrain,2/14/20,0
1190,China - Guizhou,2/14/20,28
1191,Chile,2/14/20,0
1192,China - Shanxi,2/14/20,38
1193,Australia - Victoria,2/14/20,4
1194,China - Tianjin,2/14/20,31
1195,Israel,2/14/20,0
1196,China - Liaoning,2/14/20,29
1197,China - Gansu,2/14/20,39
1198,Romania,2/14/20,0
1199,Iceland,2/14/20,0
1200,China - Hubei,2/15/20,5623
1201,Spain,2/15/20,2
1202,Iran,2/15/20,0
1203,Germany,2/15/20,1
1204,Italy,2/15/20,0
1205,France,2/15/20,4
1206,US,2/15/20,3
1207,"Korea, South",2/15/20,9
1208,Switzerland,2/15/20,0
1209,China - Guangdong,2/15/20,410
1210,China - Henan,2/15/20,391
1211,China - Zhejiang,2/15/20,428
1212,China - Hunan,2/15/20,425
1213,China - Anhui,2/15/20,221
1214,China - Jiangxi,2/15/20,210
1215,Belgium,2/15/20,0
1216,China - Shandong,2/15/20,156
1217,China - Jiangsu,2/15/20,186
1218,Canada,2/15/20,1
1219,Austria,2/15/20,0
1220,China - Chongqing,2/15/20,184
1221,China - Sichuan,2/15/20,119
1222,China - Heilongjiang,2/15/20,68
1223,China - Beijing,2/15/20,98
1224,China - Shanghai,2/15/20,124
1225,China - Hebei,2/15/20,101
1226,Diamond Princess,2/15/20,0
1227,China - Fujian,2/15/20,71
1228,Malaysia,2/15/20,7
1229,Denmark,2/15/20,0
1230,China - Shaanxi,2/15/20,60
1231,China - Guangxi,2/15/20,44
1232,Japan,2/15/20,12
1233,Turkey,2/15/20,0
1234,Peru,2/15/20,0
1235,Thailand,2/15/20,12
1236,China - Yunnan,2/15/20,42
1237,China - Hainan,2/15/20,39
1238,Singapore,2/15/20,18
1239,Bahrain,2/15/20,0
1240,China - Guizhou,2/15/20,41
1241,Chile,2/15/20,0
1242,China - Shanxi,2/15/20,46
1243,Australia - Victoria,2/15/20,4
1244,China - Tianjin,2/15/20,37
1245,Israel,2/15/20,0
1246,China - Liaoning,2/15/20,31
1247,China - Gansu,2/15/20,49
1248,Romania,2/15/20,0
1249,Iceland,2/15/20,0
1250,China - Hubei,2/16/20,6639
1251,Spain,2/16/20,2
1252,Iran,2/16/20,0
1253,Germany,2/16/20,1
1254,Italy,2/16/20,0
1255,France,2/16/20,4
1256,US,2/16/20,3
1257,"Korea, South",2/16/20,9
1258,Switzerland,2/16/20,0
1259,China - Guangdong,2/16/20,465
1260,China - Henan,2/16/20,440
1261,China - Zhejiang,2/16/20,456
1262,China - Hunan,2/16/20,464
1263,China - Anhui,2/16/20,255
1264,China - Jiangxi,2/16/20,240
1265,Belgium,2/16/20,0
1266,China - Shandong,2/16/20,173
1267,China - Jiangsu,2/16/20,218
1268,Canada,2/16/20,1
1269,Austria,2/16/20,0
1270,China - Chongqing,2/16/20,207
1271,China - Sichuan,2/16/20,131
1272,China - Heilongjiang,2/16/20,79
1273,China - Beijing,2/16/20,108
1274,China - Shanghai,2/16/20,140
1275,China - Hebei,2/16/20,105
1276,Diamond Princess,2/16/20,0
1277,China - Fujian,2/16/20,82
1278,Malaysia,2/16/20,7
1279,Denmark,2/16/20,0
1280,China - Shaanxi,2/16/20,71
1281,China - Guangxi,2/16/20,49
1282,Japan,2/16/20,12
1283,Turkey,2/16/20,0
1284,Peru,2/16/20,0
1285,Thailand,2/16/20,14
1286,China - Yunnan,2/16/20,42
1287,China - Hainan,2/16/20,52
1288,Singapore,2/16/20,18
1289,Bahrain,2/16/20,0
1290,China - Guizhou,2/16/20,46
1291,Chile,2/16/20,0
1292,China - Shanxi,2/16/20,50
1293,Australia - Victoria,2/16/20,4
1294,China - Tianjin,2/16/20,45
1295,Israel,2/16/20,0
1296,China - Liaoning,2/16/20,40
1297,China - Gansu,2/16/20,54
1298,Romania,2/16/20,0
1299,Iceland,2/16/20,0
1300,China - Hubei,2/17/20,7862
1301,Spain,2/17/20,2
1302,Iran,2/17/20,0
1303,Germany,2/17/20,1
1304,Italy,2/17/20,0
1305,France,2/17/20,4
1306,US,2/17/20,3
1307,"Korea, South",2/17/20,10
1308,Switzerland,2/17/20,0
1309,China - Guangdong,2/17/20,524
1310,China - Henan,2/17/20,509
1311,China - Zhejiang,2/17/20,507
1312,China - Hunan,2/17/20,498
1313,China - Anhui,2/17/20,280
1314,China - Jiangxi,2/17/20,275
1315,Belgium,2/17/20,1
1316,China - Shandong,2/17/20,191
1317,China - Jiangsu,2/17/20,258
1318,Canada,2/17/20,1
1319,Austria,2/17/20,0
1320,China - Chongqing,2/17/20,225
1321,China - Sichuan,2/17/20,156
1322,China - Heilongjiang,2/17/20,85
1323,China - Beijing,2/17/20,114
1324,China - Shanghai,2/17/20,161
1325,China - Hebei,2/17/20,122
1326,Diamond Princess,2/17/20,0
1327,China - Fujian,2/17/20,90
1328,Malaysia,2/17/20,7
1329,Denmark,2/17/20,0
1330,China - Shaanxi,2/17/20,79
1331,China - Guangxi,2/17/20,53
1332,Japan,2/17/20,12
1333,Turkey,2/17/20,0
1334,Peru,2/17/20,0
1335,Thailand,2/17/20,15
1336,China - Yunnan,2/17/20,47
1337,China - Hainan,2/17/20,59
1338,Singapore,2/17/20,24
1339,Bahrain,2/17/20,0
1340,China - Guizhou,2/17/20,57
1341,Chile,2/17/20,0
1342,China - Shanxi,2/17/20,53
1343,Australia - Victoria,2/17/20,4
1344,China - Tianjin,2/17/20,46
1345,Israel,2/17/20,0
1346,China - Liaoning,2/17/20,43
1347,China - Gansu,2/17/20,58
1348,Romania,2/17/20,0
1349,Iceland,2/17/20,0
1350,China - Hubei,2/18/20,9128
1351,Spain,2/18/20,2
1352,Iran,2/18/20,0
1353,Germany,2/18/20,12
1354,Italy,2/18/20,0
1355,France,2/18/20,4
1356,US,2/18/20,3
1357,"Korea, South",2/18/20,12
1358,Switzerland,2/18/20,0
1359,China - Guangdong,2/18/20,565
1360,China - Henan,2/18/20,522
1361,China - Zhejiang,2/18/20,535
1362,China - Hunan,2/18/20,527
1363,China - Anhui,2/18/20,361
1364,China - Jiangxi,2/18/20,310
1365,Belgium,2/18/20,1
1366,China - Shandong,2/18/20,211
1367,China - Jiangsu,2/18/20,280
1368,Canada,2/18/20,1
1369,Austria,2/18/20,0
1370,China - Chongqing,2/18/20,254
1371,China - Sichuan,2/18/20,169
1372,China - Heilongjiang,2/18/20,111
1373,China - Beijing,2/18/20,122
1374,China - Shanghai,2/18/20,177
1375,China - Hebei,2/18/20,136
1376,Diamond Princess,2/18/20,0
1377,China - Fujian,2/18/20,93
1378,Malaysia,2/18/20,13
1379,Denmark,2/18/20,0
1380,China - Shaanxi,2/18/20,89
1381,China - Guangxi,2/18/20,69
1382,Japan,2/18/20,13
1383,Turkey,2/18/20,0
1384,Peru,2/18/20,0
1385,Thailand,2/18/20,15
1386,China - Yunnan,2/18/20,57
1387,China - Hainan,2/18/20,79
1388,Singapore,2/18/20,29
1389,Bahrain,2/18/20,0
1390,China - Guizhou,2/18/20,66
1391,Chile,2/18/20,0
1392,China - Shanxi,2/18/20,61
1393,Australia - Victoria,2/18/20,4
1394,China - Tianjin,2/18/20,48
1395,Israel,2/18/20,0
1396,China - Liaoning,2/18/20,53
1397,China - Gansu,2/18/20,62
1398,Romania,2/18/20,0
1399,Iceland,2/18/20,0
1400,China - Hubei,2/19/20,10337
1401,Spain,2/19/20,2
1402,Iran,2/19/20,0
1403,Germany,2/19/20,12
1404,Italy,2/19/20,0
1405,France,2/19/20,4
1406,US,2/19/20,3
1407,"Korea, South",2/19/20,12
1408,Switzerland,2/19/20,0
1409,China - Guangdong,2/19/20,606
1410,China - Henan,2/19/20,573
1411,China - Zhejiang,2/19/20,604
1412,China - Hunan,2/19/20,561
1413,China - Anhui,2/19/20,413
1414,China - Jiangxi,2/19/20,362
1415,Belgium,2/19/20,1
1416,China - Shandong,2/19/20,231
1417,China - Jiangsu,2/19/20,318
1418,Canada,2/19/20,1
1419,Austria,2/19/20,0
1420,China - Chongqing,2/19/20,274
1421,China - Sichuan,2/19/20,188
1422,China - Heilongjiang,2/19/20,120
1423,China - Beijing,2/19/20,145
1424,China - Shanghai,2/19/20,186
1425,China - Hebei,2/19/20,152
1426,Diamond Princess,2/19/20,1
1427,China - Fujian,2/19/20,112
1428,Malaysia,2/19/20,15
1429,Denmark,2/19/20,0
1430,China - Shaanxi,2/19/20,102
1431,China - Guangxi,2/19/20,86
1432,Japan,2/19/20,18
1433,Turkey,2/19/20,0
1434,Peru,2/19/20,0
1435,Thailand,2/19/20,15
1436,China - Yunnan,2/19/20,60
1437,China - Hainan,2/19/20,84
1438,Singapore,2/19/20,34
1439,Bahrain,2/19/20,0
1440,China - Guizhou,2/19/20,70
1441,Chile,2/19/20,0
1442,China - Shanxi,2/19/20,68
1443,Australia - Victoria,2/19/20,4
1444,China - Tianjin,2/19/20,54
1445,Israel,2/19/20,0
1446,China - Liaoning,2/19/20,55
1447,China - Gansu,2/19/20,65
1448,Romania,2/19/20,0
1449,Iceland,2/19/20,0
1450,China - Hubei,2/20/20,11788
1451,Spain,2/20/20,2
1452,Iran,2/20/20,0
1453,Germany,2/20/20,12
1454,Italy,2/20/20,0
1455,France,2/20/20,4
1456,US,2/20/20,3
1457,"Korea, South",2/20/20,16
1458,Switzerland,2/20/20,0
1459,China - Guangdong,2/20/20,642
1460,China - Henan,2/20/20,637
1461,China - Zhejiang,2/20/20,633
1462,China - Hunan,2/20/20,634
1463,China - Anhui,2/20/20,474
1464,China - Jiangxi,2/20/20,433
1465,Belgium,2/20/20,1
1466,China - Shandong,2/20/20,254
1467,China - Jiangsu,2/20/20,356
1468,Canada,2/20/20,1
1469,Austria,2/20/20,0
1470,China - Chongqing,2/20/20,299
1471,China - Sichuan,2/20/20,217
1472,China - Heilongjiang,2/20/20,136
1473,China - Beijing,2/20/20,153
1474,China - Shanghai,2/20/20,199
1475,China - Hebei,2/20/20,169
1476,Diamond Princess,2/20/20,1
1477,China - Fujian,2/20/20,126
1478,Malaysia,2/20/20,15
1479,Denmark,2/20/20,0
1480,China - Shaanxi,2/20/20,118
1481,China - Guangxi,2/20/20,90
1482,Japan,2/20/20,18
1483,Turkey,2/20/20,0
1484,Peru,2/20/20,0
1485,Thailand,2/20/20,15
1486,China - Yunnan,2/20/20,79
1487,China - Hainan,2/20/20,86
1488,Singapore,2/20/20,34
1489,Bahrain,2/20/20,0
1490,China - Guizhou,2/20/20,72
1491,Chile,2/20/20,0
1492,China - Shanxi,2/20/20,76
1493,Australia - Victoria,2/20/20,4
1494,China - Tianjin,2/20/20,59
1495,Israel,2/20/20,0
1496,China - Liaoning,2/20/20,59
1497,China - Gansu,2/20/20,71
1498,Romania,2/20/20,0
1499,Iceland,2/20/20,0
1500,China - Hubei,2/21/20,11881
1501,Spain,2/21/20,2
1502,Iran,2/21/20,0
1503,Germany,2/21/20,14
1504,Italy,2/21/20,0
1505,France,2/21/20,4
1506,US,2/21/20,5
1507,"Korea, South",2/21/20,16
1508,Switzerland,2/21/20,0
1509,China - Guangdong,2/21/20,690
1510,China - Henan,2/21/20,736
1511,China - Zhejiang,2/21/20,679
1512,China - Hunan,2/21/20,661
1513,China - Anhui,2/21/20,539
1514,China - Jiangxi,2/21/20,489
1515,Belgium,2/21/20,1
1516,China - Shandong,2/21/20,281
1517,China - Jiangsu,2/21/20,373
1518,Canada,2/21/20,3
1519,Austria,2/21/20,0
1520,China - Chongqing,2/21/20,316
1521,China - Sichuan,2/21/20,231
1522,China - Heilongjiang,2/21/20,175
1523,China - Beijing,2/21/20,169
1524,China - Shanghai,2/21/20,211
1525,China - Hebei,2/21/20,184
1526,Diamond Princess,2/21/20,1
1527,China - Fujian,2/21/20,149
1528,Malaysia,2/21/20,15
1529,Denmark,2/21/20,0
1530,China - Shaanxi,2/21/20,134
1531,China - Guangxi,2/21/20,97
1532,Japan,2/21/20,22
1533,Turkey,2/21/20,0
1534,Peru,2/21/20,0
1535,Thailand,2/21/20,17
1536,China - Yunnan,2/21/20,96
1537,China - Hainan,2/21/20,95
1538,Singapore,2/21/20,37
1539,Bahrain,2/21/20,0
1540,China - Guizhou,2/21/20,77
1541,Chile,2/21/20,0
1542,China - Shanxi,2/21/20,78
1543,Australia - Victoria,2/21/20,4
1544,China - Tianjin,2/21/20,62
1545,Israel,2/21/20,0
1546,China - Liaoning,2/21/20,61
1547,China - Gansu,2/21/20,76
1548,Romania,2/21/20,0
1549,Iceland,2/21/20,0
1550,China - Hubei,2/22/20,15299
1551,Spain,2/22/20,2
1552,Iran,2/22/20,0
1553,Germany,2/22/20,14
1554,Italy,2/22/20,1
1555,France,2/22/20,4
1556,US,2/22/20,5
1557,"Korea, South",2/22/20,16
1558,Switzerland,2/22/20,0
1559,China - Guangdong,2/22/20,728
1560,China - Henan,2/22/20,830
1561,China - Zhejiang,2/22/20,719
1562,China - Hunan,2/22/20,692
1563,China - Anhui,2/22/20,597
1564,China - Jiangxi,2/22/20,555
1565,Belgium,2/22/20,1
1566,China - Shandong,2/22/20,302
1567,China - Jiangsu,2/22/20,401
1568,Canada,2/22/20,3
1569,Austria,2/22/20,0
1570,China - Chongqing,2/22/20,328
1571,China - Sichuan,2/22/20,250
1572,China - Heilongjiang,2/22/20,204
1573,China - Beijing,2/22/20,178
1574,China - Shanghai,2/22/20,227
1575,China - Hebei,2/22/20,203
1576,Diamond Princess,2/22/20,1
1577,China - Fujian,2/22/20,162
1578,Malaysia,2/22/20,15
1579,Denmark,2/22/20,0
1580,China - Shaanxi,2/22/20,149
1581,China - Guangxi,2/22/20,104
1582,Japan,2/22/20,22
1583,Turkey,2/22/20,0
1584,Peru,2/22/20,0
1585,Thailand,2/22/20,17
1586,China - Yunnan,2/22/20,107
1587,China - Hainan,2/22/20,104
1588,Singapore,2/22/20,37
1589,Bahrain,2/22/20,0
1590,China - Guizhou,2/22/20,90
1591,Chile,2/22/20,0
1592,China - Shanxi,2/22/20,81
1593,Australia - Victoria,2/22/20,4
1594,China - Tianjin,2/22/20,65
1595,Israel,2/22/20,0
1596,China - Liaoning,2/22/20,66
1597,China - Gansu,2/22/20,76
1598,Romania,2/22/20,0
1599,Iceland,2/22/20,0
1600,China - Hubei,2/23/20,15343
1601,Spain,2/23/20,2
1602,Iran,2/23/20,0
1603,Germany,2/23/20,14
1604,Italy,2/23/20,2
1605,France,2/23/20,4
1606,US,2/23/20,5
1607,"Korea, South",2/23/20,18
1608,Switzerland,2/23/20,0
1609,China - Guangdong,2/23/20,755
1610,China - Henan,2/23/20,868
1611,China - Zhejiang,2/23/20,760
1612,China - Hunan,2/23/20,714
1613,China - Anhui,2/23/20,637
1614,China - Jiangxi,2/23/20,613
1615,Belgium,2/23/20,1
1616,China - Shandong,2/23/20,321
1617,China - Jiangsu,2/23/20,418
1618,Canada,2/23/20,3
1619,Austria,2/23/20,0
1620,China - Chongqing,2/23/20,335
1621,China - Sichuan,2/23/20,261
1622,China - Heilongjiang,2/23/20,222
1623,China - Beijing,2/23/20,189
1624,China - Shanghai,2/23/20,249
1625,China - Hebei,2/23/20,219
1626,Diamond Princess,2/23/20,0
1627,China - Fujian,2/23/20,170
1628,Malaysia,2/23/20,15
1629,Denmark,2/23/20,0
1630,China - Shaanxi,2/23/20,163
1631,China - Guangxi,2/23/20,106
1632,Japan,2/23/20,22
1633,Turkey,2/23/20,0
1634,Peru,2/23/20,0
1635,Thailand,2/23/20,21
1636,China - Yunnan,2/23/20,115
1637,China - Hainan,2/23/20,106
1638,Singapore,2/23/20,51
1639,Bahrain,2/23/20,0
1640,China - Guizhou,2/23/20,102
1641,Chile,2/23/20,0
1642,China - Shanxi,2/23/20,88
1643,Australia - Victoria,2/23/20,4
1644,China - Tianjin,2/23/20,81
1645,Israel,2/23/20,0
1646,China - Liaoning,2/23/20,73
1647,China - Gansu,2/23/20,78
1648,Romania,2/23/20,0
1649,Iceland,2/23/20,0
1650,China - Hubei,2/24/20,16748
1651,Spain,2/24/20,2
1652,Iran,2/24/20,0
1653,Germany,2/24/20,14
1654,Italy,2/24/20,1
1655,France,2/24/20,4
1656,US,2/24/20,5
1657,"Korea, South",2/24/20,18
1658,Switzerland,2/24/20,0
1659,China - Guangdong,2/24/20,786
1660,China - Henan,2/24/20,943
1661,China - Zhejiang,2/24/20,782
1662,China - Hunan,2/24/20,731
1663,China - Anhui,2/24/20,663
1664,China - Jiangxi,2/24/20,645
1665,Belgium,2/24/20,1
1666,China - Shandong,2/24/20,343
1667,China - Jiangsu,2/24/20,452
1668,Canada,2/24/20,3
1669,Austria,2/24/20,0
1670,China - Chongqing,2/24/20,349
